basin,date,lat,lon,gear,sci_name,species,n
Calcasieu,1/30/1992,29.83472,-93.37306,Gillnet,Archosargus Probatocephalus,Sheepshead,1
Calcasieu,3/26/1992,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,3/26/1992,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,4/22/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,5/13/1992,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,9
Calcasieu,5/20/1992,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,16
Calcasieu,6/4/1992,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,4
Calcasieu,6/24/1992,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,6/24/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,7/22/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,8/17/1992,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,8/27/1992,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,8/27/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,8/27/1992,29.83472,-93.37306,Gillnet,Micropogonias Undulatus,Atlantic Croaker,1
Calcasieu,8/27/1992,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,4
Calcasieu,9/24/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,10/19/1992,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,3/23/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,4/12/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,4/27/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,4/27/1993,29.83472,-93.37306,Gillnet,Micropogonias Undulatus,Atlantic Croaker,1
Calcasieu,7/13/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,7/13/1993,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,4
Calcasieu,8/4/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,8/18/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,9/8/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,10/11/1993,29.83472,-93.37306,Gillnet,Cynoscion Nebulosus,Spotted Seatrout,1
Calcasieu,10/11/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,35
Calcasieu,11/18/1993,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,4/21/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,6
Calcasieu,4/27/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,5/23/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,6/20/1994,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,6/20/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,6/20/1994,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,1
Calcasieu,7/18/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,11
Calcasieu,8/17/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,8/22/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,9/20/1994,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,10/19/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,12/7/1994,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1/31/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,1/31/1995,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,3/23/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,23
Calcasieu,4/12/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,4/12/1995,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,4/25/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,5/24/1995,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,5/24/1995,29.83472,-93.37306,Gillnet,Cynoscion Nebulosus,Spotted Seatrout,1
Calcasieu,6/19/1995,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,7/19/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,10/9/1995,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,12/12/1995,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,12/12/1995,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,1/22/1996,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,3/28/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,4/16/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,5/8/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,10
Calcasieu,5/21/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,7
Calcasieu,6/4/1996,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,6/4/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,30
Calcasieu,6/12/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,7/9/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,7
Calcasieu,8/7/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,9/11/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,10/9/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,12/13/1996,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,5/29/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,5/30/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,14
Calcasieu,6/11/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,6/11/1997,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,6/19/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,7/7/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,6
Calcasieu,7/29/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,9
Calcasieu,9/8/1997,29.83472,-93.37306,Gillnet,Erroneous Entry,Erroneous Entry,1
Calcasieu,9/29/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,9/29/1997,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,1
Calcasieu,10/16/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,10/16/1997,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,1
Calcasieu,11/25/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,12/8/1997,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,12/8/1997,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,3/26/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,4/6/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,7
Calcasieu,4/20/1998,29.83472,-93.37306,Gillnet,Arius Felis,Sea Catfish,1
Calcasieu,4/20/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,18
Calcasieu,5/11/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,15
Calcasieu,5/21/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,6/9/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,6/9/1998,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,7/21/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,8/18/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,9/22/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,11/23/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,12/1/1998,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,1/25/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,4
Calcasieu,1/25/1999,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,2/8/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,8
Calcasieu,3/22/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,4/12/1999,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,4/20/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,2
Calcasieu,4/20/1999,29.83472,-93.37306,Gillnet,Mugil Cephalus,Striped Mullet,1
Calcasieu,4/20/1999,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,5/17/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,5/17/1999,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,5/26/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
Calcasieu,6/2/1999,29.83472,-93.37306,Gillnet,Bagre Marinus,Gafftopsail Catfish,1
Calcasieu,6/2/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,6/30/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,5
Calcasieu,7/20/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,3
Calcasieu,7/30/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,8
Calcasieu,7/30/1999,29.83472,-93.37306,Gillnet,Sciaenops Ocellatus,Red Drum,1
Calcasieu,8/3/1999,29.83472,-93.37306,Gillnet,Pogonias Cromis,Black Drum,1
Calcasieu,8/26/1999,29.83472,-93.37306,Gillnet,Dorosoma Cepedianum,Gizzard Shad,1
